drug_name,num_prescriber,total_cost
FLUOCINOLONE ACETONIDE,2914,9184081.47
AMLODIPINE-VALSARTAN-HCTZ,2781,9166547.09
CUPRIMINE,62,9144743.43
DILT-XR,12418,9099651.91
FLOVENT DISKUS,2509,9097861.98
EMTRIVA,965,8969928.07
VELCADE,78,8951192.95
HYDROXYUREA,9381,8936958.3
PROPAFENONE HCL,8392,8933035.66
XOPENEX HFA,6637,8855237.88
DOXYCYCLINE MONOHYDRATE,14711,8833956.61
EDECRIN,547,8809530.73
CARBIDOPA,464,8769832.32
MYCOPHENOLIC ACID,640,8730933.27
RABEPRAZOLE SODIUM,6971,8703755.59
SPIRONOLACTONE-HCTZ,7260,8668599.49
ALCOHOL PREP PADS,8813,8656163.06
LENVIMA,33,8634824.62
CANDESARTAN CILEXETIL,4618,8595064.03
DIGITEK,10265,8559329.56
JANTOVEN,22737,8372221.18
PLAVIX,2453,8342366.42
KLOR-CON 10,15756,8330660.88
CLINDAMYCIN HCL,46585,8327689.54
ALFUZOSIN HCL ER,11264,8305454.63
METOCLOPRAMIDE HCL,37234,8263831.63
EXALGO,344,8214297.31
BICALUTAMIDE,8624,8188567.4
DUEXIS,200,8172530.21
TOBRADEX,1736,8136191.68
FLUPHENAZINE DECANOATE,2164,8103901.53
GLUCAGEN,1413,8089409.68
INVOKAMET,960,7992052.23
RISPERIDONE ODT,2339,7869019.37
LOVENOX,693,7861687.88
ZONISAMIDE,8448,7840367.92
TRETINOIN,2603,7817926.12
CEREZYME,22,7801002.53
MINOCYCLINE HCL,12212,7760602.51
ZIOPTAN,1863,7715189.5
TROKENDI XR,501,7700458.69
NISOLDIPINE,2056,7678538.6
TESTOSTERONE,1212,7668880.34
NORDITROPIN FLEXPRO,202,7622417.27
SILENOR,1242,7584295.4
CELLCEPT,341,7557015.41
NEOMYCIN-POLYMYXIN-DEXAMETH,11041,7540585.58
ESTRING,1267,7534717.59
XGEVA,196,7531298.39
ACIPHEX,953,7373908.77
RELISTOR,389,7330010.05
K-TAB ER,4704,7228028.41
EGRIFTA,102,7223718.77
ACARBOSE,4999,7181817.76
PHENYTOIN,8600,7121851.51
FELBATOL,222,7110911.01
PROVIGIL,268,7109830.01
MYSOLINE,184,7106784.63
IMIQUIMOD,2307,7098813.96
SULFASALAZINE,8957,7093684.01
DEXTROAMPHETAMINE SULFATE ER,1661,7076396.8
BEXAROTENE,17,7072228.44
IRBESARTAN-HYDROCHLOROTHIAZIDE,9094,7068682.27
NAGLAZYME,7,7056828.25
CLARITHROMYCIN,6715,7021397.18
BIDIL,1463,7017667.5
TANZEUM,882,6945342.98
LEXAPRO,1873,6934144.33
TEGRETOL,1897,6833786.94
BOOSTRIX TDAP,2220,6814931.5
NOVOFINE 32,6192,6812430.28
PERMETHRIN,3078,6809042.13
VALPROIC ACID,10639,6796856.03
GEODON,638,6796550.47
VIRACEPT,442,6792112.48
LEUKINE,31,6779668.32
TRELSTAR,92,6737759.63
SYPRINE,20,6700753.71
GENTAMICIN SULFATE,7858,6648086.3
NOVOFINE AUTOCOVER,3723,6613782.37
FLUVOXAMINE MALEATE,9611,6582742.48
VPRIV,12,6579192.56
PROCYSBI,8,6570001.31
CHLORHEXIDINE GLUCONATE,32197,6565621.85
KADIAN,287,6534452.07
FYCOMPA,393,6502961.49
ALREX,1072,6502059.31
UCERIS,284,6445389.58
THIOLA,69,6405560.01
BISOPROLOL-HYDROCHLOROTHIAZIDE,21483,6392408.71
LITHIUM CARBONATE ER,11925,6336986.75
PENTOXIFYLLINE,11318,6315953.1
APIDRA,851,6312779.2
LITHIUM CARBONATE,22312,6310090.05
GLATOPA,92,6285613.12
DUTASTERIDE,1565,6273077.96
KORLYM,20,6218343.16
NILANDRON,66,6196153.39
INVEGA TRINZA,74,6167203.18
VERAPAMIL HCL,12093,6136280.22
HYDROXYZINE PAMOATE,16445,6112554.94
FLUDROCORTISONE ACETATE,13984,6085915.85
OLOPATADINE HCL,1274,6079111.08
PIROXICAM,3572,6078161.89
BEPREVE,710,6031963.53
TIAGABINE HCL,896,5993683.53
ELIDEL,724,5958920.02
ZYPREXA RELPREVV,162,5956765.63
SOMATULINE DEPOT,78,5923985.57
LOPERAMIDE,12631,5922553.39
MERCAPTOPURINE,2515,5904384.37
EMEND,392,5887480.05
BROMOCRIPTINE MESYLATE,1599,5872545.8
ZELBORAF,56,5821732.61
NEURONTIN,807,5793582.7
ZYFLO CR,128,5780926.46
EDARBYCLOR,1541,5779584.66
SYMLINPEN 120,276,5760760.32
DEXAMETHASONE,15708,5714973.59
MOMETASONE FUROATE,9334,5695138.9
PROCTOSOL-HC,4985,5670501.72
THIOTHIXENE,3818,5647736.53
DICLOFENAC SODIUM-MISOPROSTOL,2253,5647009.7
ZAFIRLUKAST,3478,5641478.42
JUBLIA,541,5635213.21
BROMFENAC SODIUM,1096,5634707.12
EVISTA,1555,5633816.4
LEVETIRACETAM ER,2878,5590991.65
ZYKADIA,40,5563841.79
BROVANA,656,5536312.46
EDARBI,1599,5490386.22
PROZAC,655,5484817.5
HALOPERIDOL DECANOATE 100,2362,5456037.31
FERRIPROX,32,5430502.76
RIZATRIPTAN,7562,5415773.84
DEMECLOCYCLINE HCL,969,5391068.07
BACITRACIN,2363,5388747.9
RISPERDAL,502,5378757.1
RILUZOLE,591,5366341.2
MOXIFLOXACIN HCL,2450,5365105.09
ADACEL TDAP,3211,5328243.73
TRIFLUOPERAZINE HCL,3800,5270623.82
RAPAMUNE,238,5268113.42
EVOTAZ,176,5249841.7
ABSTRAL,24,5244201.43
SELEGILINE HCL,1910,5174813.95
TAZTIA XT,8558,5165430.79
ZEGERID,253,5165254.67
KETOPROFEN,574,5127191.55
BETAMETHASONE VALERATE,4555,5112312.17
DOXERCALCIFEROL,359,5089426.1
MYALEPT,6,5023542.63
SILVER SULFADIAZINE,7759,5018966.14
ZORTRESS,109,4967882.18
METHIMAZOLE,13946,4967569.76
VALCHLOR,43,4955398.77
INDAPAMIDE,12246,4916845.88
TASMAR,37,4879380.24
AMBIEN,818,4858836.97
DARAPRIM,46,4853473.41
CAPRELSA,31,4842955.9
LOTRONEX,148,4831285.98
FENTANYL CITRATE,161,4807000.44
GLYCOPYRROLATE,4406,4785191.31
EYLEA,66,4779046.81
OXAPROZIN,1716,4770160.81
CLORAZEPATE DIPOTASSIUM,9621,4761197.94
ISTALOL,894,4759697.15
BENLYSTA,87,4750276.53
FLUOCINOLONE ACETONIDE OIL,1234,4721276.8
NYAMYC,5164,4706179
MEDROXYPROGESTERONE ACETATE,11987,4671155.96
FINACEA,990,4654071.99
PALIPERIDONE ER,356,4631791.81
CABERGOLINE,1679,4629849.34
HEPARIN SODIUM,2562,4607592.14
MYFORTIC,264,4590879.66
OPDIVO,25,4532000.06
DIOVAN HCT,1329,4529824.48
PEG 3350-ELECTROLYTE,5929,4518254.57
COSOPT PF,1336,4516995.95
TESTIM,518,4512784.08
FLUPHENAZINE HCL,8629,4478628.73
GENOTROPIN,151,4476711.43
NAFTIN,462,4451692.24
FRAGMIN,152,4438271.69
MEROPENEM,1140,4432644.55
GAVILYTE-N,4180,4395519.99
BETOPTIC S,780,4390815.63
ZYVOX,92,4385925.99
SULFASALAZINE DR,2539,4373632.83
CEFPODOXIME PROXETIL,2234,4342486.13
AZASITE,890,4327292.71
DESIPRAMINE HCL,2899,4308338.35
LUNESTA,832,4301520.06
ITRACONAZOLE,491,4286351.5
SURE COMFORT,5743,4270906.28
CARBATROL,1145,4268837.02
GLYBURIDE-METFORMIN HCL,9143,4243914.49
HORIZANT,530,4235376.19
REGRANEX,176,4231093.57
EMSAM,216,4213709.48
DILTIAZEM 12HR ER,2584,4213538.37
ETODOLAC ER,1425,4160246.04
XALATAN,1380,4159123.5
HUMATROPE,127,4126492.86
UNIFINE PENTIPS,7324,4122990.94
IMIPRAMINE HCL,9862,4093015.51
MISOPROSTOL,3284,3996213.85
XANAX,861,3995919.04
CARIMUNE NF NANOFILTERED,32,3978674.69
SANDOSTATIN LAR,50,3966486.87
CYCLOSPORINE MODIFIED,1260,3959644.21
ALIMTA,44,3937567.04
SAIZEN,28,3936429.24
INVIRASE,230,3934041.07
NAPROXEN SODIUM,5027,3928101.76
PERFOROMIST,409,3923523.94
GABITRIL,425,3920968.87
MIRAPEX ER,393,3914881.6
TIMOPTIC OCUDOSE,418,3885981.97
ALCOHOL PADS,3814,3885640.1
AMBIEN CR,787,3881900.91
COSENTYX PEN (2 PENS),40,3879864.45
SODIUM CHLORIDE,6470,3867480.97
HYDROCODONE-IBUPROFEN,4852,3848532.75
DEXTROAMPHETAMINE SULFATE,1478,3819097.05
BIVIGAM,14,3777022.41
SANCUSO,153,3776177.77
OLANZAPINE-FLUOXETINE HCL,629,3772844.53
FUZEON,87,3761779.93
RAYOS,84,3756296.77
INTRALIPID,428,3723271.92
CEFEPIME HCL,1144,3697039.87
ADDERALL XR,694,3615626.07
DIHYDROERGOTAMINE MESYLATE,93,3605738.13
AXIRON,376,3561558.53
RISEDRONATE SODIUM DR,763,3558871.73
PICATO,244,3558214.16
ANAGRELIDE HCL,1383,3553410.8
MEGACE ES,220,3550419.73
SINGULAIR,1167,3546980.95
CARDIZEM CD,223,3518718.06
VIVITROL,148,3518024.44
PENICILLIN V POTASSIUM,15704,3511665.45
OXANDROLONE,211,3504161.65
E.E.S. 200,220,3492629.54
AURYXIA,193,3481650.49
OSENI,480,3477448.01
ANDRODERM,587,3443664.57
ARMOUR THYROID,5888,3432855.74
ORACEA,323,3395668.27
THIORIDAZINE HCL,4004,3381621.43
VIVELLE-DOT,1555,3372198.07
SANDOSTATIN LAR DEPOT,40,3371511.94
LOXAPINE,3132,3364663.08
RIBAVIRIN,748,3357145.96
FOSINOPRIL SODIUM,13002,3347507.7
TETRABENAZINE,28,3321849.21
TRIMETHOPRIM,6900,3319360.16
ALVESCO,533,3316823.93
NORVASC,1509,3273719.12
RUCONEST,3,3262023.96
KINERET,65,3250879.97
FLUVOXAMINE MALEATE ER,586,3190794.68
TRIAZOLAM,4447,3178039.58
VERAPAMIL ER PM,2705,3144681.28
COMETRIQ,20,3133585.59
ZAVESCA,10,3125058.72
VGO 40,491,3109470.08
NALTREXONE HCL,2750,3101115.69
ALDURAZYME,4,3090449.96
TEFLARO,124,3045754.52
OXAZEPAM,3167,3038259.97
LAMIVUDINE HBV,527,3036848.62
KLOR-CON 8,4864,3034460.39
MEXILETINE HCL,1483,3001291.43
ADEFOVIR DIPIVOXIL,258,2973047.19
LEVALBUTEROL HCL,1071,2951912.83
ULTICARE,3692,2928965.06
MIACALCIN,51,2910766.9
TYGACIL,138,2895263.58
OXTELLAR XR,299,2893036.17
RIBASPHERE RIBAPAK,142,2887419.65
SULINDAC,6349,2869824.7
PROCHLORPERAZINE MALEATE,14354,2861137.05
TRAVOPROST,900,2844285.36
GAVILYTE-G,4567,2829297.07
MINOXIDIL,7840,2826940.76
NPLATE,26,2816992.5
TIROSINT,1047,2792927.16
AUTOSHIELD DUO PEN NEEDLE,2112,2788628.01
LIDOCAINE HCL,7114,2775851.96
ZALEPLON,4903,2725293.88
OMNITROPE,125,2705067.62
LAZANDA,13,2681938.01
LAMICTAL ODT,254,2668679.81
ZYPREXA ZYDIS,172,2662557.51
FASLODEX,83,2661976.77
DANTROLENE SODIUM,1575,2654779.56
CERDELGA,6,2648323.39
PLEGRIDY,38,2633181.79
ELAPRASE,2,2626027.66
DESLORATADINE,3328,2621640.72
EXFORGE HCT,688,2618526.62
SPS,2004,2585420.13
OCTREOTIDE ACETATE,259,2579775.13
ZOHYDRO ER,298,2576351.52
LESCOL XL,656,2551977.33
TRIHEXYPHENIDYL HCL,9454,2550273.96
CYPROHEPTADINE HCL,3428,2541350.53
FAMCICLOVIR,2395,2535421.22
ZELAPAR,53,2533680.73
ZOLOFT,665,2524876.06
BUTALB-CAFF-ACETAMINOPH-CODEIN,1766,2522165.23
BUTORPHANOL TARTRATE,1487,2500331.88
NOVOFINE,3013,2496700.54
RIFAMPIN,2135,2490557.15
TEKTURNA HCT,956,2489253.64
DIBENZYLINE,18,2460410.28
CYCLOSET,274,2456700.51
PINDOLOL,1901,2451184.15
BELSOMRA,584,2450097
ARICEPT,394,2448363.85
ROXICODONE,119,2446059.05
NESINA,378,2425085.9
NEOMYCIN-POLYMYXIN-HYDROCORT,3997,2415539.86
CLINISOL,355,2413954.1
LASTACAFT,669,2409850.71
NORCO,436,2406437.32
KIONEX,1835,2354966.63
EPITOL,2736,2341947.89
QUINAPRIL-HYDROCHLOROTHIAZIDE,3405,2335210.32
FROVA,213,2333363.73
NITROGLYCERIN,635,2333067.46
ETHAMBUTOL HCL,1570,2332937.44
LANOXIN,1359,2332472.99
TRICOR,930,2329830.85
DICLOFENAC SODIUM ER,3964,2292760.07
TERBINAFINE HCL,10835,2283806.84
VALIUM,401,2266103.9
PAZEO,491,2255125.65
ERBITUX,14,2250090.69
ELELYSO,5,2247401.32
HYQVIA,27,2247318.89
AMRIX,148,2237689.36
ATOVAQUONE-PROGUANIL HCL,530,2236222.95
BUTALBITAL COMPOUND-CODEINE,977,2232607.16
PIPERACILLIN-TAZOBACTAM,667,2220291.38
LEUCOVORIN CALCIUM,1699,2212664.83
IMITREX,195,2212350.27
NUTROPIN AQ NUSPIN,58,2209710.67
LEVOCARNITINE,1366,2205740.27
VERAPAMIL SR,2972,2196828.6
LEUKERAN,300,2195619.62
CHOLESTYRAMINE LIGHT,1549,2190399.05
PEGASYS,41,2184097.11
MS CONTIN,135,2182794.98
TREXIMET,183,2182732.04
APLENZIN,74,2179466.26
FLUVASTATIN SODIUM,1030,2176501.95
GAMMAGARD S-D,21,2175207.82
TOBI PODHALER,18,2174841.98
ZOVIRAX,165,2174326.49
OXYTROL,345,2169029.75
APTIVUS,111,2162529.69
PERJETA,26,2154350.07
NEFAZODONE HCL,1553,2137173.7
GAVILYTE-C,2196,2124611.97
DAPSONE,2567,2117610.62
FORTAMET,64,2109712.14
QNASL,639,2105513.78
DEPAKOTE SPRINKLE,351,2102226
PANCREAZE,256,2096004.57
KYNAMRO,6,2077702.38
ENULOSE,3552,2076400.89
KERYDIN,108,2070961.37
POTIGA,141,2053483.87
LODOSYN,63,2050656.27
NEORAL,276,2031281.28
SIMCOR,549,2016407.18
LUCENTIS,28,2009322.85
PREPOPIK,693,2008601.46
EPOGEN,219,1994660.4
INDERAL LA,226,1992797.84
PROPYLTHIOURACIL,2085,1982600.72
VIRAMUNE XR,169,1965598.71
CLOBETASOL EMOLLIENT,654,1965178.6
ESTRADIOL-NORETHINDRONE ACETAT,932,1932908.45
ZOLINZA,17,1932031.39
PHENAZOPYRIDINE HCL,1846,1929341.21
CROMOLYN SODIUM,1518,1927810.36
PULMICORT,172,1923905.86
ZOCOR,513,1916013.09
DILAUDID,240,1890616.35
DIFLUNISAL,982,1884714.12
DETROL LA,532,1874496.53
TRANYLCYPROMINE SULFATE,425,1869998.94
SODIUM POLYSTYRENE SULFONATE,1088,1867486.79
OPIUM TINCTURE,202,1858495.46
INTRON A,76,1850533.7
LEVOXYL,2469,1847126.05
LEVORPHANOL TARTRATE,76,1844032.13
DIFLORASONE DIACETATE,231,1837590.77
THEO-24,1024,1833487.82
ZOMIG,179,1822420.32
ABRAXANE,22,1821213.16
ALOXI,58,1817747.91
MICARDIS,702,1807929.15
ERYPED 200,121,1803771.46
BUTALBITAL-ASPIRIN-CAFFEINE,1645,1801065.84
NAMZARIC,342,1793825.95
SYLATRON,17,1760902.65
PRANDIN,184,1749306.2
PERPHENAZINE-AMITRIPTYLINE,1674,1742097.88
FLUNISOLIDE,1588,1738426.36
NEOMYCIN-POLYMYXIN-HC,2523,1722551.38
NEVIRAPINE,1095,1702556.67
TERBUTALINE SULFATE,411,1695125.65
REMODULIN,6,1690321.5
LEVOBUNOLOL HCL,2688,1685978.15
LEVEMIR FLEXPEN,286,1678105.86
PLAQUENIL,276,1678028.08
SUMAVEL DOSEPRO,79,1677067.21
PREVALITE,1130,1672651.66
VGO 30,298,1646567.17
VGO 20,274,1646205.94
EASY TOUCH PEN NEEDLE,3063,1625692.77
KEYTRUDA,9,1625187.11
DEXEDRINE,77,1625027.22
MINIVELLE,680,1624318.06
PRED FORTE,269,1615216.31
BETIMOL,704,1614135.59
TRIZIVIR,73,1614043.15
ENALAPRIL-HYDROCHLOROTHIAZIDE,6598,1600904.65
CEFPROZIL,1400,1585864.4
DEXTROSE IN WATER,1134,1585162.72
CARAC,43,1581215.6
CYCLOPHOSPHAMIDE,173,1575796.52
GELNIQUE,322,1569970.28
ZOLEDRONIC ACID,154,1567339.47
AMILORIDE HCL,2233,1561810.66
MOVANTIK,366,1554549.02
MILRINONE LACTATE,57,1548292.38
TERCONAZOLE,2086,1534010.15
MATZIM LA,1186,1528238.98
TENORMIN,372,1524750.01
PENTAZOCINE-NALOXONE HCL,513,1523635.15
MYCAMINE,70,1510781.2
DOCETAXEL,47,1510514.98
SALSALATE,521,1508232.2
NICOTROL,323,1497607.8
ACTIQ,7,1495322.14
SSD,3161,1488569.03
COZAAR,800,1475197.43
CEFADROXIL,4524,1472840.18
PAXIL,460,1470459.77
KRISTALOSE,267,1470320.71
EPINASTINE HCL,796,1462039.33
GENERLAC,4069,1461221.59
CYCLOSPORINE,275,1454359.73
OXALIPLATIN,46,1453891.83
SIMPONI ARIA,15,1453020.28
NIASPAN,382,1452700.68
ALBENZA,13,1446848.19
NARATRIPTAN HCL,1163,1440742.12
BUPHENYL,10,1439668.89
SPORANOX,46,1437723.29
PROBENECID,2502,1428415.25
DENAVIR,117,1422768.21
VIMIZIM,1,1416815.3
LOTREL,451,1415155.52
ILARIS,5,1409580.25
NICOTROL NS,218,1399037.21
SUMATRIPTAN,334,1397063.64
METOPROLOL-HYDROCHLOROTHIAZIDE,1839,1390480.53
ORPHENADRINE CITRATE,2173,1379020.95
DYRENIUM,355,1377155.96
POLYMYXIN B SUL-TRIMETHOPRIM,2953,1369083.54
COSOPT,383,1363569.48
ISOSORBIDE MONONITRATE,5762,1355483.29
HYSINGLA ER,193,1351902.62
FEMARA,139,1351015.48
REXULTI,91,1348426.41
MICARDIS HCT,500,1340090.9
ACAMPROSATE CALCIUM,587,1339886.79
ZYMAXID,163,1321815.39
THEOPHYLLINE,1410,1316351.71
ZYLET,222,1296311.37
STIOLTO RESPIMAT,202,1292107.53
EQUETRO,251,1287128.61
DIPENTUM,81,1284725.79
MESALAMINE,286,1277437.99
MONUROL,353,1268927.91
TRANDOLAPRIL,3854,1265063.86
AVAPRO,569,1262550.35
ZOLMITRIPTAN,715,1261232.54
ALINIA,62,1259742.88
ZIRGAN,242,1253140.85
CANDESARTAN-HYDROCHLOROTHIAZID,884,1245159.32
CIMETIDINE,2737,1245145.99
ALCLOMETASONE DIPROPIONATE,673,1221079.1
COMBIVIR,98,1219469.72
VICODIN ES,593,1218671.98
CAMBIA,130,1216263.42
MEPRON,50,1214602.93
TOBRAMYCIN,3283,1209861.93
DONEPEZIL HCL ODT,1739,1207039.21
ERY-TAB,260,1205114.43
RYTHMOL SR,144,1203330.49
ESTAZOLAM,1223,1195650.93
RIFABUTIN,134,1193979.82
ADAGEN,1,1193561.8
BETAXOLOL HCL,818,1192044.21
DIDANOSINE,328,1184002.29
MEPROBAMATE,369,1181101.23
VERSACLOZ,33,1172584.41
CYRAMZA,11,1172355.57
HYDROCORTISONE BUTYRATE,434,1170487.37
PIOGLITAZONE-GLIMEPIRIDE,202,1166479.53
ERYPED 400,61,1163520.48
CALCIPOTRIENE-BETAMETHASONE DP,92,1158861.27
CLIMARA,620,1153922.67
ARCAPTA NEOHALER,258,1152266.85
TYVASO,6,1147982.62
PEG-3350 AND ELECTROLYTES,2801,1146472.71
TACLONEX,65,1146430.13
ZORVOLEX,282,1144145.34
VASOTEC,101,1124822.93
ETHOSUXIMIDE,571,1118601.55
PROBENECID-COLCHICINE,1456,1107012.23
GENGRAF,285,1106269.6
COLISTIMETHATE,97,1102077.17
WELLBUTRIN SR,255,1101560.88
ASCOMP WITH CODEINE,545,1098703.34
COREG,367,1098585.16
FORTICAL,929,1091844.81
COMBIPATCH,500,1090961.26
ARIMIDEX,147,1088810.65
ACTOS,175,1087467.45
METHYLPHENIDATE LA,443,1086699.72
ACEBUTOLOL HCL,3093,1081688.78
OTREXUP,98,1080090.03
UROXATRAL,138,1078710.77
MIGRANAL,25,1074282.61
PRAMIPEXOLE ER,128,1065430.47
FLEBOGAMMA DIF,15,1065004.52
TREANDA,9,1064190.22
DIFICID,21,1063450.32
VALTREX,185,1063155.35
HYZAAR,511,1055546.41
ERYTHROCIN STEARATE,165,1051773.34
INCRUSE ELLIPTA,223,1045513.9
NAFCILLIN SODIUM,104,1044518.38
NORETHINDRONE ACETATE,959,1042167.79
QUININE SULFATE,395,1039944.3
IMIPRAMINE PAMOATE,246,1024453.19
AZACITIDINE,15,1023201.96
CYSTADANE,29,1019367.2
ZUBSOLV,170,1018279.76
KLOR-CON,360,1016971.55
MOEXIPRIL HCL,1671,1013399.8
RIBASPHERE,318,1012225.26
MOXEZA,140,1011393.83
ARESTIN,19,1008265.82
QUINIDINE GLUCONATE,175,1001568.47
NICARDIPINE HCL,397,1000697.61
OXISTAT,102,986889.19
CANCIDAS,19,980590.18
FLUOCINONIDE-E,400,974787.01
DEPAKENE,100,972798.99
EASY COMFORT PEN NEEDLES,903,970343.02
METHSCOPOLAMINE BROMIDE,361,965986.58
INDOMETHACIN,3001,963487.21
LACRISERT,124,954188.03
ALPRAZOLAM ER,1747,946160.13
GUANFACINE HCL ER,356,943141.11
METHYLERGONOVINE MALEATE,25,932370.29
FARESTON,51,928274.89
ADVICOR,253,921404.64
VICODIN,689,920114.41
PRILOSEC,178,919236.78
CHLORZOXAZONE,1615,918938.19
HUMIRA PEN PSORIASIS,11,917754.32
FARYDAK,9,914815.13
CLARITHROMYCIN ER,601,909779.62
KAZANO,150,909663.4
MAXALT,105,909404.28
ANTARA,127,897398.15
EVZIO,58,897363.48
ADDERALL,163,884081.87
DANAZOL,241,878510
KADCYLA,8,876567.9
DEMSER,3,872702.06
REQUIP XL,136,872417.69
RIDAURA,45,870425.38
PAXIL CR,326,869676.4
VERAMYST,343,866281.5
VICODIN HP,278,857108.13
IMIPENEM-CILASTATIN SODIUM,264,855656.94
LINEZOLID,48,855361.52
PULMOZYME,16,843903.39
SANDOSTATIN,10,832412.92
SODIUM BICARBONATE,678,831306.83
ZESTRIL,228,829211.16
ULTRAM,193,828913.46
PEN NEEDLE,2760,827747.56
BUPRENEX,23,825013.33
TAZORAC,104,819297.68
GLYSET,236,813456.82
ARIXTRA,16,811082.84
SOTALOL AF,1983,807115.89
CAPTOPRIL-HYDROCHLOROTHIAZIDE,656,805122.25
CONCERTA,175,802175.8
CORDRAN,114,799878.62
ENTYVIO,12,799802.92
SOLARAZE,21,794336.49
ZYCLARA,38,793944.35
NITRO-DUR,388,792092.83
GEMCITABINE HCL,50,787709.93
CATAPRES-TTS 3,131,786643.96
SYMLINPEN 60,69,783353.01
MIRAPEX,147,782928.33
ATACAND,469,778595.89
DEXAMETHASONE SODIUM PHOSPHATE,1167,772101.62
ENTOCORT EC,37,770741.83
COMFORT EZ,756,769562.33
CEFAZOLIN SODIUM,643,765419.03
ZIPSOR,92,764516.09
HALOPERIDOL LACTATE,1341,759425.36
STAXYN,75,757749.95
PEXEVA,127,756069.63
ISRADIPINE,519,750610.09
PROMETHEGAN,207,750399.32
DEPEN,16,745154.84
HYDROCORTISONE-ACETIC ACID,364,730756.41
AROMASIN,75,730148.95
PHENYTEK,747,729465.08
AMILORIDE-HYDROCHLOROTHIAZIDE,2321,723459.29
SIGNIFOR,5,722503.97
STALEVO 100,76,717420.3
BUTALB-ACETAMINOPH-CAFF-CODEIN,142,713142.88
PROTRIPTYLINE HCL,298,710470.08
TOBRAMYCIN SULFATE,264,707416.46
GLUCOPHAGE,458,705169.14
DISOPYRAMIDE PHOSPHATE,643,703404.83
FULYZAQ,74,702916.93
PEN NEEDLES,1390,702436.58
ENTRESTO,94,699673.65
PATANASE,151,697804.85
METHYLPHENIDATE HCL CD,260,697437.88
SUCRAID,6,695238.09
CELEXA,222,695198.88
BONIVA,190,692061.95
CLINDAMYCIN-BENZOYL PEROXIDE,148,691976.78
CYTOMEL,482,691414.06
SYNRIBO,8,689686.69
LEVITRA,167,688157.58
MONOJECT INSULIN SYRINGE,1010,686242.72
NOVOTWIST,749,683599.31
ZOSYN,148,682037.35
FIORINAL WITH CODEINE #3,61,680858.86
NALBUPHINE HCL,131,680599.95
DESVENLAFAXINE ER,252,679777.9
ALOSETRON HCL,31,677307.27
VECTIBIX,7,670989.48
ANADROL-50,10,670120.05
ATROPINE SULFATE,1196,669343.28
MEPERIDINE HCL,702,667918.33
NATPARA,6,667917.52
SULFACETAMIDE SODIUM,804,661658.47
TETRACYCLINE HCL,145,658200.92
CODEINE SULFATE,639,654560.08
CYSTARAN,13,652661.89
TWINRIX,132,649458.75
DDAVP,40,649336.79
SOMA,56,649037.29
CHLORDIAZEPOXIDE-AMITRIPTYLINE,589,645499.55
SODIUM PHENYLBUTYRATE,4,643597.16
EPIVIR,269,643194.52
ERYTHROMYCIN-BENZOYL PEROXIDE,304,643021.42
PAMELOR,31,640667.34
ACETYLCYSTEINE,627,636073.77
CARDIZEM LA,320,634109.54
MENEST,808,633797.71
ALTACE,280,632560.36
NIMODIPINE,21,632328.74
ORAP,325,626974.03
INNOPRAN XL,82,624431.09
SANDIMMUNE,86,622215.78
GUANFACINE HCL,3003,621903.34
TRILIPIX,215,621399.34
DISULFIRAM,488,619261.5
AMPICILLIN SODIUM,237,618327.37
METHOXSALEN,15,618013.85
SINEMET 25-100,172,617541.87
MARINOL,21,617390.5
NIZATIDINE,1454,607939.96
MAXALT MLT,99,607814.32
DIPYRIDAMOLE,1598,607456.24
SINGLE USE SWAB,6066,605250.33
MIGERGOT,46,604922
KLONOPIN,233,603707.36
ANAFRANIL,20,602049.63
HEPSERA,41,599619.53
CATAPRES-TTS 2,128,598280.48
METHAMPHETAMINE HCL,52,597461.34
NULOJIX,18,596842.62
AFEDITAB CR,1253,591986.85
ZIAGEN,86,589084.72
LITHOBID,109,583696.16
MIMVEY,360,582139.6
PROAIR RESPICLICK,477,577775.36
SUPRAX,130,577497.55
OSMOPREP,149,575382.12
AZTREONAM,56,571609.73
HALOG,37,571423.1
AMIKACIN SULFATE,369,567336.2
FOCALIN XR,113,564040.67
EASY TOUCH,1330,558043.65
LIDOCAINE HCL VISCOUS,2968,547961.6
STALEVO 150,65,541547.27
SORIATANE,32,537483.72
GRISEOFULVIN ULTRAMICROSIZE,96,537023.47
DEXMETHYLPHENIDATE HCL ER,174,535669.48
AMPICILLIN-SULBACTAM,268,534958.11
SAVAYSA,108,532244.52
VITAMIN D2,1663,531487.55
OMNARIS,164,524283.45
RITALIN LA,116,522645.08
PARNATE,34,520183.6
EMBEDA,47,518069.78
FIRMAGON,34,515881.98
SIVEXTRO,8,513284.29
ZETONNA,164,512168.11
RIOMET,136,510113.55
ZYFLO,16,509894.49
CADUET,134,508161.61
PROCARDIA XL,194,508067.25
ISORDIL,48,506273.2
FLUOXETINE DR,251,505654.75
ELIPHOS,147,503672.91
ALTOPREV,75,500847.67
LIPOFEN,176,500739.33
PHENELZINE SULFATE,458,495452.58
PRED MILD,148,490972.41
CEFEPIME,120,489935.38
REQUIP,95,488334.28
DEPO-TESTOSTERONE,568,487680.29
OXACILLIN SODIUM,52,484500.48
NEOMYCIN SULFATE,1102,483230.98
CEFTAZIDIME,215,482481.6
BICILLIN L-A,79,482303.18
PACERONE,431,481108.52
AMOXICILLIN-CLAVULANATE POT ER,251,478466.63
ASTEPRO,174,472499.66
CLICKFINE,1294,466095.27
